subject,session,unit,n_fast,n_slow,pulse_fwhm_all,pulse_spread_all
BG_031,BG_031_180325,452,18052,18298,0.08591359898974471,0.2595594451703991
BG_031,BG_031_180325,474,18052,18298,0.11051394530845446,0.21538204296776012
BG_031,BG_031_25042025,12,16613,16916,0.06900108308806996,0.22916196547694545
BG_031,BG_031_25042025,67,16613,16916,0.10559052152597971,0.21653427690242885
BG_031,BG_031_25042025,170,16613,16916,0.1019605722008422,0.24426240536972615
BG_031,BG_031_25042025,219,16613,16916,0.07616756739013197,0.2621808793219174
BG_031,BG_031_25042025,503,16613,16916,0.06754641540731021,0.23956169658723758
BG_031,BG_031_25042025,512,16613,16916,0.06194212439323883,0.25658376566874713
BG_031,BG_031_190325,21,17408,17587,0.10244024456493356,0.23500980447719635
BG_031,BG_031_190325,110,17408,17587,0.0967113746263607,0.22676012148794308
BG_031,BG_031_190325,113,17408,17587,0.06952893033378549,0.23561643459796147
BG_031,BG_031_190325,194,17408,17587,0.06930434735809865,0.24790131198244716
BG_031,BG_031_190325,260,17408,17587,0.06106924746829645,0.24411067174773554
BG_031,BG_031_190325,376,17408,17587,0.08585468138909728,0.206284850740719
BG_031,BG_031_190325,386,17408,17587,0.07023528213957714,0.25060906644351383
BG_031,BG_031_190325,391,17408,17587,0.0850921164115313,0.23902158531868292
BG_031,BG_031_190325,411,17408,17587,0.14243096321108717,0.24155513890652838
BG_031,BG_031_190325,493,17408,17587,0.08726144960210923,0.22677012743141456
BG_031,BG_031_120325,0,14406,14571,0.13119691441321746,0.22783353955445462
BG_031,BG_031_120325,6,14406,14571,0.1771014893143385,0.2061900540148686
BG_031,BG_031_120325,45,14406,14571,0.13520969910718106,0.1905123079928708
BG_031,BG_031_120325,114,14406,14571,0.05252247208446949,0.2714131461106802
BG_031,BG_031_120325,252,14406,14571,0.2640710678488911,0.1597296055192739
BG_031,BG_031_120325,279,14406,14571,0.06996510436091607,0.21963924197394688
