n_trials,f_stimsens,f_impulsive,dwell_stimsens,dwell_impulsive,switch_rate,recovery,persistence,subject,region,sid,d_prime
504,0.14682539682539683,0.0,12.333333333333334,,0.02385685884691849,,0.918918918918919,BG_039,DMS,16062025,1.2590217035663676
438,0.0319634703196347,0.0,,,0.004576659038901602,,0.9285714285714286,BG_039,DMS,17062025,
285,0.0,0.0,,,0.0,,,BG_039,DMS,18062025,
984,0.41565040650406504,0.19207317073170732,16.36,9.947368421052632,0.04984740590030519,0.09523809523809523,0.9411764705882353,BG_039,DMS,20052025,0.9663415286218564
506,0.8557312252964426,0.04940711462450593,33.30769230769231,3.125,0.05148514851485148,0.32,0.9699769053117783,BG_039,DMS,22052025,1.8255458713149089
412,0.06796116504854369,0.02669902912621359,4.0,,0.0364963503649635,0.18181818181818182,0.7777777777777778,BG_039,DMS,23042025,
248,0.14919354838709678,0.0,4.625,,0.06072874493927125,,0.7837837837837838,BG_039,DMS,00270325,1.198302374656152
370,0.021621621621621623,0.0,,,0.005420054200542005,,,BG_039,DMS,00280325,
458,0.27510917030567683,0.017467248908296942,12.6,,0.04814004376367615,,0.9206349206349206,BG_039,DMS,29042025,1.2935997660009924
505,0.7900990099009901,0.01782178217821782,28.5,,0.05357142857142857,,0.9649122807017544,BG_039,DMS,29052025,2.0879107700710144
849,0.25206124852767964,0.33568904593639576,6.484848484848484,10.178571428571429,0.07783018867924528,0.09154929577464789,0.8457943925233645,BG_031,VMS,01042025,
497,0.7585513078470825,0.02012072434607646,29.0,,0.05040322580645161,0.1,0.9680851063829787,BG_031,VMS,01052025,1.0726602904452387
714,0.5028011204481793,0.45938375350140054,11.580645161290322,11.310344827586206,0.08555399719495091,0.08841463414634146,0.9162011173184358,BG_031,VMS,02042025,1.3407110596670195
715,0.02097902097902098,0.8895104895104895,,212.0,0.00980392156862745,0.0,0.8666666666666667,BG_031,VMS,03042025,
674,0.46439169139465875,0.04302670623145401,15.65,4.833333333333333,0.05943536404160475,0.20689655172413793,0.9361022364217252,BG_031,VMS,00050325,1.163982150198158
834,0.22182254196642687,0.27577937649880097,5.4411764705882355,7.931034482758621,0.08523409363745499,0.1091703056768559,0.8162162162162162,BG_031,VMS,00060325,
984,0.0782520325203252,0.8556910569105691,3.5,38.27272727272727,0.048830111902339775,0.022592152199762187,0.7142857142857143,BG_031,VMS,00070325,1.1389501166426828
1107,0.009033423667570008,0.99096657633243,,,0.0009041591320072332,0.0,0.9,BG_031,VMS,08042025,1.3456540489233086
711,0.011251758087201125,0.9535864978902954,2.0,,0.008450704225352112,0.0029498525073746312,,BG_031,VMS,08052025,
955,0.015706806282722512,0.9790575916230366,3.75,233.75,0.009433962264150943,0.0021413276231263384,0.7333333333333333,BG_031,VMS,09042025,1.0988032113975168
661,0.02118003025718608,0.9561270801815431,2.8,158.0,0.013636363636363636,0.006329113924050633,0.6923076923076923,BG_031,VMS,09052025,1.3603506477292118
901,0.20199778024417314,0.6725860155382908,5.055555555555555,20.2,0.08333333333333333,0.0429042904290429,0.8066298342541437,BG_031,VMS,00100325,1.2532368559434606
948,0.169831223628692,0.6909282700421941,5.962962962962963,31.19047619047619,0.0559662090813094,0.03206106870229008,0.8375,BG_031,VMS,10042025,
767,0.4041720990873533,0.4654498044328553,8.61111111111111,12.75,0.09138381201044386,0.0784313725490196,0.8867313915857605,BG_031,VMS,00110325,1.1652480987527425
925,0.16108108108108107,0.8389189189189189,7.45,38.8,0.04220779220779221,0.02577319587628866,0.8716216216216216,BG_031,VMS,00120325,1.6367877703007832
563,0.15985790408525755,0.8099467140319716,4.7368421052631575,26.823529411764707,0.06761565836298933,0.035164835164835165,0.7888888888888889,BG_031,VMS,12052025,0.9917007530530636
766,0.42036553524804177,0.09530026109660575,13.416666666666666,12.166666666666666,0.06143790849673202,0.0821917808219178,0.9283489096573209,BG_031,VMS,00130325,1.0669719465916558
827,0.39903264812575573,0.5151148730350665,11.785714285714286,19.363636363636363,0.06900726392251816,0.04929577464788732,0.9179331306990881,BG_031,VMS,00140325,1.2293378191111617
756,0.07275132275132275,0.8412698412698413,3.235294117647059,57.81818181818182,0.045033112582781455,0.01729559748427673,0.6909090909090909,BG_031,VMS,14042025,0.9871131797089095
500,0.202,0.238,4.809523809523809,7.4375,0.08617234468937876,0.11864406779661017,0.7920792079207921,BG_031,VMS,14052025,0.8312568205648442
759,0.3069828722002635,0.3254281949934124,8.321428571428571,9.5,0.07387862796833773,0.10121457489878542,0.8836206896551724,BG_031,VMS,15042025,0.8667189048504675
425,0.16941176470588235,0.35058823529411764,4.0,13.545454545454545,0.08254716981132075,0.0738255033557047,0.7605633802816901,BG_031,VMS,15052025,
681,0.4170337738619677,0.3010279001468429,15.777777777777779,13.666666666666666,0.051470588235294115,0.07317073170731707,0.9399293286219081,BG_031,VMS,16042025,1.2817200484906015
578,0.23183391003460208,0.7041522491349481,5.826086956521739,20.35,0.07972270363951472,0.046798029556650245,0.8283582089552238,BG_031,VMS,16052025,1.1503887406327604
910,0.13406593406593406,0.5648351648351648,7.176470588235294,42.833333333333336,0.0374037403740374,0.021400778210116732,0.860655737704918,BG_031,VMS,00170325,0.9156533163423513
829,0.16043425814234016,0.6453558504221955,5.541666666666667,29.72222222222222,0.057971014492753624,0.03364485981308411,0.8195488721804511,BG_031,VMS,00180325,0.8758522041590873
922,0.16377440347071584,0.6702819956616052,9.4375,44.142857142857146,0.04234527687296417,0.016181229773462782,0.9,BG_031,VMS,00190325,0.938273822172091
532,0.2161654135338346,0.6372180451127819,5.2272727272727275,17.842105263157894,0.0847457627118644,0.05029585798816568,0.808695652173913,BG_031,VMS,19052025,1.0862328028008588
924,0.27056277056277056,0.6861471861471862,7.575757575757576,20.451612903225808,0.07367280606717226,0.04574132492113565,0.8714859437751004,BG_031,VMS,00200325,1.270861641730936
886,0.29571106094808125,0.6760722347629797,7.9393939393939394,19.322580645161292,0.07457627118644068,0.05016722408026756,0.8740458015267175,BG_031,VMS,00210325,1.4010099210732736
529,0.1342155009451796,0.10586011342155009,14.2,,0.020833333333333332,0.03571428571428571,0.9295774647887324,BG_031,VMS,21052025,
454,0.3744493392070485,0.5682819383259912,9.444444444444445,16.125,0.0772626931567329,0.06201550387596899,0.8994082840236687,BG_031,VMS,22052025,1.5493347697910111
384,0.0,0.0,,,0.0,,,BG_031,VMS,23042025,
774,0.44315245478036175,0.5568475452196382,9.8,12.314285714285715,0.08926261319534282,0.07906976744186046,0.8979591836734694,BG_031,VMS,00240325,1.6393651117316357
886,0.24040632054176073,0.7460496613995485,6.264705882352941,20.03030303030303,0.07570621468926554,0.048484848484848485,0.8403755868544601,BG_031,VMS,00250325,1.5791416928870026
555,0.4990990990990991,0.13333333333333333,14.578947368421053,7.4,0.07220216606498195,0.1232876712328767,0.9314079422382672,BG_031,VMS,25042025,1.2838305104502523
315,0.0,0.0,,,0.0,,,BG_031,VMS,25062025,
678,0.29793510324483774,0.6489675516224189,8.416666666666666,20.0,0.0723781388478582,0.04555808656036447,0.8811881188118812,BG_031,VMS,00260325,1.5526712545964745
589,0.13242784380305603,0.8675721561969439,5.571428571428571,34.06666666666667,0.047619047619047616,0.027450980392156862,0.8205128205128205,BG_031,VMS,00270325,1.5828422456779991
262,0.1297709923664122,0.8702290076335878,4.25,32.57142857142857,0.05363984674329502,0.03070175438596491,0.7878787878787878,BG_031,VMS,00280325,
400,0.0,0.0,,,0.0,,,BG_031,VMS,28052025,
377,0.04774535809018567,0.9522546419098143,2.5714285714285716,44.875,0.03723404255319149,0.019553072625698324,0.6111111111111112,BG_038,cortex,01052025,
194,0.9845360824742269,0.015463917525773196,,,0.010362694300518135,,0.9947368421052631,BG_038,cortex,01072025,2.292095650421518
211,0.909952606635071,0.09004739336492891,32.0,3.1666666666666665,0.05238095238095238,0.3157894736842105,0.9738219895287958,BG_038,cortex,02062025,2.448316884852427
459,0.7930283224400871,0.20697167755991286,18.2,4.75,0.0851528384279476,0.21052631578947367,0.9476584022038568,BG_038,cortex,02072025,2.0196389151861744
454,0.8083700440528634,0.05947136563876652,28.23076923076923,3.857142857142857,0.05518763796909492,0.25925925925925924,0.9645776566757494,BG_038,cortex,03072025,2.4167341276698657
471,0.3630573248407643,0.6369426751592356,10.6875,18.75,0.06595744680851064,0.05333333333333334,0.9117647058823529,BG_038,cortex,04082025,2.428022857610032
588,0.46258503401360546,0.11904761904761904,20.923076923076923,7.0,0.05110732538330494,0.10144927536231885,0.9522058823529411,BG_038,cortex,05082025,1.1693807340923343
652,0.46319018404907975,0.5291411042944786,16.77777777777778,21.5625,0.053763440860215055,0.0463768115942029,0.9435215946843853,BG_038,cortex,08042025,1.8273986444292296
485,0.04329896907216495,0.9567010309278351,7.0,116.0,0.012396694214876033,0.0064794816414686825,0.8571428571428571,BG_038,cortex,08052025,
438,0.9657534246575342,0.0,70.5,,0.02288329519450801,,0.9881516587677726,BG_038,cortex,08072025,2.35341489557818
1394,0.5315638450502153,0.040889526542324243,52.92857142857143,6.333333333333333,0.025843503230437905,0.07142857142857142,0.9811066126855601,BG_038,cortex,08082025,0.9893873422528068
443,0.5304740406320542,0.10609480812641084,18.076923076923077,7.833333333333333,0.05656108597285068,0.1276595744680851,0.9446808510638298,BG_038,cortex,09042025,1.622369786546172
332,0.8795180722891566,0.06927710843373494,58.4,7.666666666666667,0.027190332326283987,0.13043478260869565,0.9862542955326461,BG_038,cortex,09062025,1.6137353698392074
387,0.9844961240310077,0.0,127.0,,0.010362694300518135,,0.9947368421052631,BG_038,cortex,09072025,1.8898153433250648
227,0.0,0.0,,,0.0,,,BG_038,cortex,10072025,
92,0.8369565217391305,0.16304347826086957,19.25,5.0,0.06593406593406594,0.2,0.9605263157894737,BG_038,cortex,11062025,2.1127440651405287
552,0.9221014492753623,0.07789855072463768,72.71428571428571,7.166666666666667,0.021778584392014518,0.13953488372093023,0.9881889763779528,BG_038,cortex,11082025,2.560007653408194
640,0.6109375,0.3671875,20.57894736842105,15.666666666666666,0.057902973395931145,0.06382978723404255,0.9514066496163683,BG_038,cortex,12082025,1.7701952569441923
233,0.0815450643776824,0.9184549356223176,4.75,53.5,0.03017241379310345,0.014084507042253521,0.7894736842105263,BG_038,cortex,14052025,
451,0.21729490022172948,0.6541019955654102,8.166666666666666,26.818181818181817,0.051111111111111114,0.03728813559322034,0.8775510204081632,BG_038,cortex,15042025,2.9006114198629644
369,0.5094850948509485,0.06775067750677506,26.857142857142858,6.25,0.03804347826086957,0.16,0.9627659574468085,BG_038,cortex,15072025,1.089345804153876
587,0.8432708688245315,0.10732538330494037,49.5,,0.030716723549488054,0.031746031746031744,0.9817813765182186,BG_038,cortex,15082025,2.3104626269969666
110,0.22727272727272727,0.7727272727272727,4.166666666666667,17.0,0.09174311926605505,0.058823529411764705,0.7916666666666666,BG_038,cortex,16052025,
485,0.9195876288659793,0.05154639175257732,44.6,4.166666666666667,0.0371900826446281,0.24,0.9797752808988764,BG_038,cortex,18082025,2.2919831862691264
151,0.9735099337748344,0.026490066225165563,,,0.013333333333333334,,0.9931506849315068,BG_038,cortex,19062025,2.6430599487396296
497,0.9014084507042254,0.05835010060362173,29.866666666666667,5.8,0.056451612903225805,0.1724137931034483,0.9686800894854586,BG_038,cortex,19082025,2.196363119603524
482,0.8506224066390041,0.12448132780082988,31.53846153846154,5.454545454545454,0.05197505197505198,0.18333333333333332,0.9706601466992665,BG_038,cortex,20082025,2.185630916856025
744,0.696236559139785,0.0967741935483871,23.545454545454547,18.0,0.05787348586810229,0.05555555555555555,0.9575289575289575,BG_038,cortex,21072025,1.5939945067435033
498,0.6445783132530121,0.18875502008032127,18.88235294117647,13.428571428571429,0.06841046277665996,0.07446808510638298,0.9470404984423676,BG_038,cortex,22072025,1.6591078681000224
488,0.9467213114754098,0.045081967213114756,46.2,3.6666666666666665,0.03696098562628337,0.2727272727272727,0.9804772234273319,BG_038,cortex,22082025,2.312198585682012
453,0.5099337748344371,0.059602649006622516,8.25,9.0,0.12831858407079647,0.07407407407407407,0.8787878787878788,BG_038,cortex,23042025,1.9627931656049031
266,0.8571428571428571,0.14285714285714285,38.0,7.6,0.03773584905660377,0.13157894736842105,0.9779735682819384,BG_038,cortex,23062025,2.004242263338543
539,0.4100185528756957,0.5102040816326531,8.84,13.75,0.09293680297397769,0.06909090909090909,0.8909090909090909,BG_038,cortex,24072025,1.279270750055683
379,0.741424802110818,0.1820580474934037,16.529411764705884,9.857142857142858,0.0873015873015873,0.10144927536231885,0.9428571428571428,BG_038,cortex,25042025,1.7642241547866897
560,0.3125,0.17142857142857143,9.722222222222221,12.0,0.06440071556350627,0.08333333333333333,0.8971428571428571,BG_038,cortex,25072025,1.1245416223845766
408,0.29411764705882354,0.6740196078431373,9.23076923076923,25.0,0.06388206388206388,0.0364963503649635,0.8916666666666667,BG_038,cortex,25082025,2.421633531163692
