file,n_rows,domains,joinable_to_manifest,rows_lost_on_join
data\cache\state_tags\BG_046\17092025.csv,739,{'8digit': 739},True,0
data\cache\state_tags\BG_046\18082025.csv,671,{'8digit': 671},True,0
data\cache\state_tags\BG_046\19082025.csv,587,{'8digit': 587},True,0
data\cache\state_tags\BG_046\20082025.csv,486,{'8digit': 486},True,0
data\cache\state_tags\BG_046\21072025.csv,482,{'8digit': 482},True,0
data\cache\state_tags\BG_046\22072025.csv,332,{'8digit': 332},True,0
data\cache\state_tags\BG_046\23062025.csv,180,{'8digit': 180},True,0
data\cache\state_tags\BG_046\24062025.csv,544,{'8digit': 544},True,0
data\cache\state_tags\BG_046\24072025.csv,455,{'8digit': 455},True,0
data\cache\state_tags\BG_046\25062025.csv,660,{'8digit': 660},True,0
data\cache\state_tags\BG_046\25072025.csv,557,{'8digit': 557},True,0
data\cache\state_tags\BG_046\26062025.csv,647,{'8digit': 647},True,0
data\cache\state_tags\BG_046\26082025.csv,509,{'8digit': 509},True,0
data\cache\state_tags\BG_046\27062025.csv,604,{'8digit': 604},True,0
data\cache\state_tags\BG_046\27082025.csv,595,{'8digit': 595},True,0
data\cache\state_tags\BG_046\28072025.csv,362,{'8digit': 362},True,0
data\cache\state_tags\BG_046\28082025.csv,611,{'8digit': 611},True,0
data\cache\state_tags\BG_046\29082025.csv,582,{'8digit': 582},True,0
data\cache\state_tags\BG_046\30062025.csv,390,{'8digit': 390},True,0
data\cache\state_tags\BG_049\01092025.csv,581,{'8digit': 581},True,0
data\cache\state_tags\BG_049\02092025.csv,587,{'8digit': 587},True,0
data\cache\state_tags\BG_049\04092025.csv,488,{'8digit': 488},True,0
data\cache\state_tags\BG_049\05092025.csv,628,{'8digit': 628},True,0
data\cache\talk_substrate\ws_learning_crossed_BG_031.csv,5092,"{'6digit': 2590, '8digit': 2502}",False,0
data\cache\talk_substrate\ws_learning_crossed_BG_038.csv,4439,"{'8digit': 4412, '6digit': 27}",False,0
data\cache\talk_substrate\ws_learning_crossed_BG_039.csv,1366,"{'8digit': 1275, '6digit': 91}",False,0
data\cache\talk_substrate\ws_learning_crossed_BG_046.csv,4090,{'8digit': 4090},True,0
data\cache\tf_glm_bg046\bg046_BG_046_01072025.csv,108,{'subject-prefixed': 108},True,0
data\cache\tf_glm_bg046\bg046_BG_046_01092025.csv,108,{'subject-prefixed': 108},True,0
data\cache\tf_glm_bg046\bg046_BG_046_02092025.csv,119,{'subject-prefixed': 119},True,0
data\cache\tf_glm_bg046\bg046_BG_046_03092025.csv,155,{'subject-prefixed': 155},True,0
data\cache\tf_glm_bg046\bg046_BG_046_04082025.csv,220,{'subject-prefixed': 220},True,0
data\cache\tf_glm_bg046\bg046_BG_046_04092025.csv,156,{'subject-prefixed': 156},True,0
data\cache\tf_glm_bg046\bg046_BG_046_05092025_b.csv,273,{'subject-prefixed': 273},True,273
data\cache\tf_glm_bg046\bg046_BG_046_08072025.csv,124,{'subject-prefixed': 124},True,0
data\cache\tf_glm_bg046\bg046_BG_046_08092025.csv,225,{'subject-prefixed': 225},True,0
data\cache\tf_glm_bg046\bg046_BG_046_09072025.csv,89,{'subject-prefixed': 89},True,0
data\cache\tf_glm_bg046\bg046_BG_046_10072025.csv,90,{'subject-prefixed': 90},True,0
data\cache\tf_glm_bg046\bg046_cell_identity_expert5.csv,763,{'subject-prefixed': 763},True,0
data\cache\tf_glm_bg046\kernel_width_continuous.csv,520,{'subject-prefixed': 520},True,0
data\cache\tf_glm_bg046\kernel_width_no_diseng_gate.csv,551,{'subject-prefixed': 551},True,0
data\cache\tf_glm_bg046\pulse_fwhm_allpulses.csv,520,{'subject-prefixed': 520},True,0
data\cache\tf_glm_bg046\targets_bg_031.csv,344,{'subject-prefixed': 344},False,0
data\cache\tf_glm_bg046\targets_bg_039.csv,256,{'subject-prefixed': 256},False,0
data\cache\tf_glm_bg046\targets_bg_046.csv,368,{'subject-prefixed': 368},True,8
data\cache\tf_glm_bg046\targets_bg_striatum.csv,968,{'subject-prefixed': 968},True,8
data\cache\tf_labeling\tf_cell_classification.csv,4725,{'8digit': 4725},True,0
data\cache\tf_responsive\bg031_tf_responsive.csv,7537,{'subject-prefixed': 7537},False,0
data\cache\tf_responsive\bg039_tf_responsive.csv,2442,{'subject-prefixed': 2442},False,0
data\cache\tf_responsive\bg046_tf_responsive.csv,7047,{'subject-prefixed': 7047},True,273
data\cache\tracking_consensus\BG_046\consensus_members.csv,977,{'8digit': 977},True,0
data\cache\um_ref\unit_index.csv,6679,{'8digit': 6679},True,0
